STOCK_NAME,rec,Midwater,Scallop,Small_Mesh,State,Other
GB Cod,,,,,43,86
GOM Cod,192,,,,48,0
GB Haddock,,131,,,0,0
GOM Haddock,759,22,,,48,8
GB Yellowtail Flounder,,,11,1.3,0,0
SNE/MA Yellowtail Flounder,,,2.7,,0.2,2
CC/GOM Yellowtail Flounder,,,,,30,40
Plaice,,,,,28,28
Witch Flounder,,,,,19,31
GB Winter Flounder,,,,,0,16
GOM Winter Flounder,,,,,153,12.1
SNE Winter Flounder,,,,,19,144
Redfish,,,,,0,0
White Hake,,,,,0,10
Pollock,,,,,627,488
Northern Windowpane,,,27,,0,6.8
Southern Windowpane,,,71,,6.4,98
Ocean Pout,,,,,0,34
Halibut,,,,,16,1.2
Wolffish,,,,,0,0
